"id_service","name","description"
1,"Alojamiento","En Alojamiento podemos encontrar: Hotel, Hotel Rural, Posada, Hostal, Casa Rural, Zona de Camping, Cabaña, Finca Turística, Refugio."
3,"Animación","En cuanto a Animación encontramos:
Talleres Demostrativos 
Venta de Productos artesanales
Actividades de Campo, 
Transmisión de la técnica, senderos interpretativos y guianza"
4,"Transporte","Podemos encontrar: buses, taxis, mototaxis "
2,"Gastronomía","En Gastronomía podemos encontrar: Parador o Restaurante "
