"id_service_provider","id_tourist_plan","terms","description","price"
1,1,"Para realizar este plan se debe llevar ropa comoda ","El plan incluye caminata ecoturistica ",50000
1,2,"Llevar Ropa comoda, preferiblemente ir hidratado y con bloqueador.","Ciclomontañismo que incluye seguro, guia hay dos tipos de ruta una de 20 km y otra de 40 km. ",50000
3,1,"Ropa Comoda, bloqueador y preferibemente haber comido ago sueve antes de realizar la actividad ","Recorrido cultural en el Centro historico de Mongui por Sitios Arqueologicos ",35000
6,1,"Vestido de Baño, Toalla, sandalias y gorro para piscina ","zonas Humedas ",24000
