"id_experience","id_service","description","type"
2,3,"aprender a ordeñar una vaca, a cultiva, a cuidar un galpon de gallinas.","Agrícola"
2,1,"Alojamiento veredal interactuando con el campesino.","Casa rural"
2,2,"de los productos que hay en cosecha se pueden probar preparaciones hechas por manos campesinas. ","Parador"
3,3,"labrar, cultivar,sembrar agua","Agrícola"
3,2,"comer junto con los campesinos","Parador"
4,3,"el termalismo es un tipo de servicio de salud y bienestar ","Otra"
4,1,"servicio de termales y quedada en hotel rural ","Hotel rural"
5,3,"Caminar y conocer la historia de el Municipio la vereda o el sector. ","Agrícola"
1,3,"los senderos interpretativos tambien se pueden dar a traves del biciturismo.","Senderos Interpretativos "
